X.RIC,type,primary_id,suffix_id,series_description,first_traded,first_notice,expires,settle_date,expiration_detail,underlying_RIC
HGG0,future_series,HG,G0,HG COPPER Feb0->HG COPPER FEB0,1998-02-26,,2010-02-24,2010-02-27,24-FEB-2000->25-FEB-2000->24-FEB-2010,
HGH0,future_series,HG,H0,HG COPPER Mar0->HG COPPER MAR0,1998-03-28,,2010-03-29,2010-04-03,29-MAR-2000->29-MAR-2010,
HGJ0,future_series,HG,J0,HG COPPER Apr0->HG COPPER APR0,1998-04-29,,2010-04-28,2010-05-01,26-APR-2000->28-APR-2010,
HGK0,future_series,HG,K0,HG COPPER May0->HG COPPER MAY0,1998-05-28,,2010-05-26,2010-05-29,26-MAY-2000->29-MAY-2000->26-MAY-2010,
HGM0,future_series,HG,M0,HG COPPER Jun0->HG COPPER JUN0,1998-06-27,,2010-06-28,2010-07-03,28-JUN-2000->28-JUN-2010,
HGN0,future_series,HG,N0,HG COPPER Jul0->HG COPPER JUL0,1998-07-30,,2010-07-28,2010-07-31,27-JUL-2000->28-JUL-2010,
HGQ0,future_series,HG,Q0,HG COPPER Aug0->HG COPPER AUG0,1998-08-28,,2010-08-27,2010-08-28,29-AUG-2000->27-AUG-2010,
HGU0,future_series,HG,U0,HG COPPER Sep0->HG COPPER SEP0,1998-09-29,,2010-09-28,2010-10-02,27-SEP-2000->28-SEP-2010,
HGV0,future_series,HG,V0,HG COPPER Oct0->HG COPPER OCT0,1998-10-29,,2010-10-27,2010-10-30,27-OCT-2000->27-OCT-2010,
HGX0,future_series,HG,X0,HG COPPER Nov0->HG COPPER NOV0,1998-11-25,,2010-11-26,2010-11-27,28-NOV-2000->26-NOV-2010,
HGZ0,future_series,HG,Z0,HG COPPER Dec0->HG COPPER DEC0,1998-12-30,,2010-12-29,2011-01-01,27-DEC-2000->28-DEC-2010->29-DEC-2010,
HOF0,future_series,HO,F0,NO 2 HT OIL Jan0->NO 2 HT OIL JAN0,1998-07-01,,2009-12-31,2010-01-02,30-DEC-1999->31-DEC-2009,
HOG0,future_series,HO,G0,NO 2 HT OIL Feb0->NO 2 HT OIL FEB0,1998-08-03,,2010-01-29,2010-01-30,31-JAN-2000->29-JAN-2010,
HOH0,future_series,HO,H0,NO 2 HT OIL Mar0->NO 2 HT OIL MAR0,1998-09-01,,2010-02-26,2010-02-27,28-FEB-2000->29-FEB-2000->26-FEB-2010,
HOJ0,future_series,HO,J0,NO 2 HT OIL Apr0->NO 2 HT OIL APR0,1998-10-01,,2010-03-31,2010-04-03,31-MAR-2000->31-MAR-2010,
HOK0,future_series,HO,K0,NO 2 HT OIL May0->NO 2 HT OIL MAY0,1998-10-31,,2010-04-30,2010-05-01,28-APR-2000->30-APR-2010,
HOM0,future_series,HO,M0,NO 2 HT OIL Jun0->NO 2 HT OIL JUN0,1998-12-01,,2010-05-28,2010-05-29,31-MAY-2000->28-MAY-2010,
HON0,future_series,HO,N0,NO 2 HT OIL Jul0->NO 2 HT OIL JUL0,1999-01-01,,2010-06-30,2010-07-03,30-JUN-2000->30-JUN-2010,
HOQ0,future_series,HO,Q0,NO 2 HT OIL Aug0->NO 2 HT OIL AUG0,1999-01-30,,2010-07-30,2010-07-31,31-JUL-2000->30-JUL-2010,
HOU0,future_series,HO,U0,NO 2 HT OIL Sep0->NO 2 HT OIL SEP0,1999-02-27,,2010-08-31,2010-09-03,31-AUG-2000->31-AUG-2010,
HOV0,future_series,HO,V0,NO 2 HT OIL Oct0->NO 2 HT OIL OCT0,1999-04-01,,2010-09-30,2010-10-02,29-SEP-2000->30-SEP-2010,
HOX0,future_series,HO,X0,NO 2 HT OIL Nov0->NO 2 HT OIL NOV0,1999-05-01,,2010-10-29,2010-10-30,31-OCT-2000->29-OCT-2010,
HOZ0,future_series,HO,Z0,NO 2 HT OIL Dec0->NO 2 HT OIL DEC0,1999-05-29,,2010-11-30,2010-12-04,30-NOV-2000->30-NOV-2010,
JYH0,future_series,JY,H0,JPANESE YEN Mar0->JPANESE YEN MAR0,1998-09-15,,2010-03-15,2010-03-28,13-MAR-2000->15-MAR-2010,JPY=->USDJPYFIX=FBNY->JPY=->USDJPYFIX=FBNY
JYM0,future_series,JY,M0,JPANESE YEN Jun0->JPANESE YEN JUN0,1998-12-15,,2010-06-14,2010-06-19,19-JUN-2000->14-JUN-2010,JPY=->USDJPYFIX=FBNY->JPY=->USDJPYFIX=FBNY->JPY=
JYU0,future_series,JY,U0,JPANESE YEN Sep0->JPANESE YEN SEP0,1999-03-16,,2010-09-13,2010-09-18,18-SEP-2000->13-SEP-2010,JPY=->USDJPYFIX=FBNY->JPY=->USDJPYFIX=FBNY->JPY=
JYZ0,future_series,JY,Z0,JPANESE YEN Dec0->JPANESE YEN DEC0,1999-06-15,,2010-12-13,2010-12-18,18-DEC-2000->13-DEC-2010,JPY=->USDJPYFIX=FBNY->JPY=->USDJPYFIX=FBNY->JPY=
KEH0,future_series,KE,H0,WHEAT MAR0,2007-11-15,,2010-03-12,2010-03-13,12-MAR-2010,
KEK0,future_series,KE,K0,WHEAT MAY0,2008-10-15,,2010-05-14,2010-05-15,14-MAY-2010,
KEN0,future_series,KE,N0,WHEAT JUL0,2007-11-28,,2010-07-14,2010-07-17,14-JUL-2010,
KEU0,future_series,KE,U0,WHEAT SEP0,2007-12-16,,2010-09-14,2010-09-18,14-SEP-2010,
KEZ0,future_series,KE,Z0,WHEAT DEC0,2008-03-15,,2010-12-14,2010-12-18,14-DEC-2010,
LCG0,future_series,LC,G0,LIVE CATTLE Feb0->LIVE CATTLE FEB0,1999-01-01,,2010-02-26,2010-03-06,28-FEB-2000->29-FEB-2000->26-FEB-2010,
LCJ0,future_series,LC,J0,LIVE CATTLE Apr0->LIVE CATTLE APR0,1999-02-26,,2010-04-30,2010-05-08,28-APR-2000->30-APR-2010,
LCM0,future_series,LC,M0,LIVE CATTLE Jun0->LIVE CATTLE JUN0,1999-02-27,,2010-06-30,2010-07-03,30-JUN-2000->30-JUN-2010,
LCQ0,future_series,LC,Q0,LIVE CATTLE Aug0->LIVE CATTLE AUG0,1999-05-01,,2010-08-31,2010-09-04,31-AUG-2000->31-AUG-2010,
LCV0,future_series,LC,V0,LIVE CATTLE Oct0->LIVE CATTLE OCT0,1999-07-01,,2010-10-29,2010-10-30,31-OCT-2000->29-OCT-2010,
LCZ0,future_series,LC,Z0,LIVE CATTLE Dec0->LIVE CATTLE DEC0,1999-09-01,,2010-12-31,2011-01-08,29-DEC-2000->30-DEC-2010->31-DEC-2010,
LCOF0,future_series,LCO,F0,BRENT CRUDE JAN0,1998-11-14,,2009-12-16,2009-12-19,15-JAN-2000->16-DEC-1999->16-DEC-2009,
LCOG0,future_series,LCO,G0,BRENT CRUDE FEB0,1999-01-15,,2010-01-14,2010-01-16,14-JAN-2000->14-JAN-2010,
LCOH0,future_series,LCO,H0,BRENT CRUDE MAR0,1998-02-13,,2010-02-11,2010-02-13,14-FEB-1998->14-FEB-2000->11-FEB-2010,
LCOJ0,future_series,LCO,J0,BRENT CRUDE APR0,1999-02-11,,2010-03-16,2010-03-18,16-MAR-2000->16-MAR-2010,
LCOK0,future_series,LCO,K0,BRENT CRUDE MAY0,1999-04-16,,2010-04-15,2010-04-17,13-APR-2000->15-APR-2010,
LCOM0,future_series,LCO,M0,BRENT CRUDE JUN0,1997-12-16,,2010-05-14,2010-05-15,16-MAY-2000->14-MAY-2010,
LCON0,future_series,LCO,N0,BRENT CRUDE JUL0,1999-06-15,,2010-06-15,2010-06-16,15-JUN-2000->15-JUN-2010,
LCOQ0,future_series,LCO,Q0,BRENT CRUDE AUG0,1999-07-16,,2010-07-15,2010-07-16,14-JUL-2000->15-JUL-2010,
LCOU0,future_series,LCO,U0,BRENT CRUDE SEP0,1998-08-19,,2010-08-16,2010-08-17,16-AUG-2000->16-AUG-2010,
LCOV0,future_series,LCO,V0,BRENT CRUDE OCT0,1999-09-15,,2010-09-15,2010-09-18,14-SEP-2000->15-SEP-2010,
LCOX0,future_series,LCO,X0,BRENT CRUDE NOV0,1999-10-15,,2010-10-14,2010-10-16,16-OCT-2000->14-OCT-2010,
LCOZ0,future_series,LCO,Z0,BRENT CRUDE DEC0,1997-12-16,,2010-11-15,2010-11-20,15-NOV-2000->15-NOV-2010,
LGOF0,future_series,LGO,F0,GAS OIL JAN0,1999-01-12,,2010-01-12,2010-01-16,12-JAN-2000->12-JAN-2010,
LGOG0,future_series,LGO,G0,GAS OIL FEB0,1999-02-11,,2010-02-11,2010-02-13,10-FEB-2000->11-FEB-2010,
LGOH0,future_series,LGO,H0,GAS OIL MAR0,1998-09-11,,2010-03-11,2010-03-13,10-MAR-2000->11-MAR-2010,
LGOJ0,future_series,LGO,J0,GAS OIL APR0,1999-04-12,,2010-04-12,2010-04-17,12-APR-2000->12-APR-2010,
LGOK0,future_series,LGO,K0,GAS OIL MAY0,1999-05-12,,2010-05-12,2010-05-13,11-MAY-2000->12-MAY-2010,
LGOM0,future_series,LGO,M0,GAS OIL JUN0,1998-12-10,,2010-06-10,2010-06-11,12-JUN-2000->10-JUN-2010,
LGON0,future_series,LGO,N0,GAS OIL JUL0,1999-07-12,,2010-07-12,2010-07-13,12-JUL-2000->12-JUL-2010,
LGOQ0,future_series,LGO,Q0,GAS OIL AUG0,1999-08-12,,2010-08-12,2010-08-14,10-AUG-2000->12-AUG-2010,
LGOU0,future_series,LGO,U0,GAS OIL SEP0,1999-03-11,,2010-09-10,2010-09-11,12-SEP-2000->10-SEP-2010,
LGOV0,future_series,LGO,V0,GAS OIL OCT0,1999-10-12,,2010-10-12,2010-10-13,12-OCT-2000->12-OCT-2010,
LGOX0,future_series,LGO,X0,GAS OIL NOV0,1999-11-11,,2010-11-11,2010-11-12,10-NOV-2000->11-NOV-2010,
LGOZ0,future_series,LGO,Z0,GAS OIL DEC0,1999-06-11,,2010-12-10,2010-12-11,12-DEC-2000->10-DEC-2010,
LSUH0,future_series,LSU,H0,SUGAR NO5 MAR0,1998-09-16,,2010-02-12,2010-02-13,08-FEB-2000->14-FEB-2000->12-FEB-2010,
LSUK0,future_series,LSU,K0,SUGAR NO5 MAY0,1998-11-14,,2010-04-15,2010-04-17,14-APR-2000->15-APR-2010,
LSUQ0,future_series,LSU,Q0,SUGAR NO5 AUG0,1999-02-12,,2010-07-16,2010-07-24,14-JUL-2000->16-JUL-2010,
LSUV0,future_series,LSU,V0,SUGAR NO5 OCT0,1999-04-15,,2010-09-15,2010-09-18,15-SEP-2000->15-SEP-2010,
LSUZ0,future_series,LSU,Z0,SUGAR NO5 DEC0,1999-07-16,,2010-11-15,2010-11-20,15-NOV-2000->15-NOV-2010,
MCIH0,future_series,MCI,H0,E-MIN MSCI MAR0,2009-03-21,,2010-03-19,2010-03-28,18-MAR-2010->19-MAR-2010,.EFD
MCIM0,future_series,MCI,M0,E-MIN MSCI JUN0,2010-01-04,,2010-06-18,2010-06-19,18-JUN-2010,.EFD
MCIU0,future_series,MCI,U0,E-MIN MSCI SEP0->EMIN MSCI SEP0,2009-09-19,,2010-09-17,2010-09-18,16-SEP-2010->17-SEP-2010,.EFD
MCIZ0,future_series,MCI,Z0,E-MIN MSCI DEC0->EMIN MSCI DEC0,2009-12-19,,2010-12-17,2010-12-18,17-DEC-2010,.EFD
MWEH0,future_series,MWE,H0,SPG WHT MAR0,2008-06-27,,2010-03-12,2010-03-13,12-MAR-2010,
MWEK0,future_series,MWE,K0,SPG WHT MAY0,2008-06-27,,2010-05-14,2010-05-15,14-MAY-2010,
MWEN0,future_series,MWE,N0,SPG WHT JUL0,2008-07-15,,2010-07-14,2010-07-17,14-JUL-2010,
MWEU0,future_series,MWE,U0,SPG WHT SEP0,2008-09-13,,2010-09-14,2010-09-18,14-SEP-2010,
MWEZ0,future_series,MWE,Z0,SPG WHT DEC0,2008-12-13,,2010-12-14,2010-12-18,14-DEC-2010,
NGF0,future_series,NG,F0,NATURAL GAS Jan0->NATURAL GAS JAN0->NATURAL GAS JAN1->NAT GAS JAN10,1997-03-25,,2010-12-29,2010-12-29,28-DEC-1999->24-DEC-1999->28-DEC-1999->24-DEC-2009->29-DEC-2009,
NGG0,future_series,NG,G0,NATURAL GAS Feb0->NATURAL GAS FEB0->NATURAL GAS FEB1->NAT GAS FEB10,1997-03-25,,2010-01-27,2010-01-30,27-JAN-2000->24-JAN-2000->27-JAN-2000->27-JAN-2010,
NGH0,future_series,NG,H0,NATURAL GAS Mar0->NATURAL GAS MAR0->NATURAL GAS MAR1->NAT GAS MAR10,1997-03-25,,2010-02-24,2010-02-27,25-FEB-2000->18-FEB-2000->25-FEB-2000->24-FEB-2010,
NGJ0,future_series,NG,J0,NATURAL GAS Apr0->NATURAL GAS APR0->NATURAL GAS APR1->NAT GAS APR10,1997-03-25,,2010-03-29,2010-04-03,29-MAR-2000->24-MAR-2000->29-MAR-2000->29-MAR-2010,
NGK0,future_series,NG,K0,NATURAL GAS May0->NATURAL GAS MAY0->NATURAL GAS MAY1->NAT GAS MAY10,1997-04-25,,2010-04-28,2010-05-01,20-APR-2000->26-APR-2000->28-APR-2010,
NGM0,future_series,NG,M0,NATURAL GAS Jun0->NATURAL GAS JUN0->NATURAL GAS JUN1->NAT GAS JUN10,1997-05-29,,2010-05-26,2010-05-29,23-MAY-2000->26-MAY-2000->26-MAY-2010,
NGN0,future_series,NG,N0,NATURAL GAS Jul0->NATURAL GAS JUL0->NATURAL GAS JUL1->NAT GAS JUL10,1997-06-27,,2010-06-28,2010-07-03,28-JUN-2000->28-JUN-2010,
NGQ0,future_series,NG,Q0,NATURAL GAS Aug0->NATURAL GAS AUG0->NATURAL GAS AUG1->NAT GAS AUG10,1997-07-30,,2010-07-28,2010-07-31,27-JUL-2000->28-JUL-2010,
NGU0,future_series,NG,U0,NATURAL GAS Sep0->NATURAL GAS SEP0->NATURAL GAS SEP1->NAT GAS SEP10,1997-08-28,,2010-08-27,2010-08-28,29-AUG-2000->27-AUG-2010,
NGV0,future_series,NG,V0,NATURAL GAS Oct0->NATURAL GAS OCT0->NATURAL GAS OCT1->NAT GAS OCT10,1997-09-27,,2010-09-28,2010-10-02,27-SEP-2000->28-SEP-2010,
NGX0,future_series,NG,X0,NATURAL GAS Nov0->NATURAL GAS NOV0->NATURAL GAS NOV1->NAT GAS NOV10,1997-10-30,,2010-10-27,2010-10-30,27-OCT-2000->27-OCT-2010,
NGZ0,future_series,NG,Z0,NATURAL GAS Dec0->NATURAL GAS DEC0->NATURAL GAS DEC1->NAT GAS DEC10,1997-11-25,,2010-11-24,2010-11-25,28-NOV-2000->24-NOV-2010,
NIYH0,future_series,NIY,H0,YEN NIKKEI MAR0,2008-12-12,,2010-03-11,2010-03-13,11-MAR-2010,.N225
NIYM0,future_series,NIY,M0,YEN NIKKEI JUN0,2009-03-13,,2010-06-10,2010-06-19,10-JUN-2010,.N225
NIYU0,future_series,NIY,U0,YEN NIKKEI SEP0,2009-04-04,,2010-09-09,2010-09-11,09-SEP-2010,.N225
NIYZ0,future_series,NIY,Z0,YEN NIKKEI DEC0,2009-04-04,,2010-12-09,2010-12-11,09-DEC-2010,.N225
NKDH0,future_series,NKD,H0,NIK STK AV MAR0,2009-03-13,,2010-03-11,2010-03-13,11-MAR-2010,.N225
NKDM0,future_series,NKD,M0,NIK STK AV JUN0,2009-06-12,,2010-06-10,2010-06-19,10-JUN-2010,.N225
NKDU0,future_series,NKD,U0,NIK STK AV SEP0,2009-09-11,,2010-09-09,2010-09-11,09-SEP-2010,.N225
NKDZ0,future_series,NKD,Z0,NIK STK AV DEC0,2009-12-11,,2010-12-09,2010-12-11,09-DEC-2010,.N225
NQH0,future_series,NQ,H0,NASD E-MINI Mar0->NASD E-MINI MAR0,1999-06-19,,2010-03-19,2010-03-28,17-MAR-2000->19-MAR-2010,.NDX
NQM0,future_series,NQ,M0,NASD E-MINI Jun0->NASD E-MINI JUN0,1999-06-19,,2010-06-18,2010-06-19,16-JUN-2000->18-JUN-2010,.NDX
NQU0,future_series,NQ,U0,NASD E-MINI Sep0->NASD E-MINI SEP0->NAS EMIN SEP0,1999-09-18,,2010-09-17,2010-09-18,15-SEP-2000->17-SEP-2010,.NDX
NQZ0,future_series,NQ,Z0,NASD E-MINI Dec0->NASD E-MINI DEC0->NAS EMIN DEC0,1999-12-18,,2010-12-17,2010-12-18,15-DEC-2000->17-DEC-2010,.NDX
OJF0,future_series,OJ,F0,FROZEN OJ Jan0->FCOJ-1 Jan0->ICE FCOJ-1 JAN0,1998-01-13,,2010-01-08,2010-01-16,11-JAN-2000->13-JAN-2000->10-JAN-2000->08-JAN-2010,
OJH0,future_series,OJ,H0,FROZEN OJ Mar0->FCOJ-1 Mar0->ICE FCOJ-1 MAR0,1998-05-09,,2010-03-11,2010-03-13,10-MAR-2000->11-MAR-2010,
OJK0,future_series,OJ,K0,FROZEN OJ May0->FCOJ-1 May0->ICE FCOJ-1 MAY0,1998-07-15,,2010-05-10,2010-05-15,11-MAY-2000->10-MAY-2010,
OJN0,future_series,OJ,N0,FROZEN OJ Jan0->FROZEN OJ Jul0->FCOJ-1 Jul0->ICE FCOJ-1 JUL0,1998-01-13,,2010-07-12,2010-07-17,11-JAN-2000->11-JUL-2000->12-JUL-2010,
OJU0,future_series,OJ,U0,FROZEN OJ Sep0->FCOJ-1 Sep0->ICE FCOJ-1 SEP0,1998-11-10,,2010-09-10,2010-09-11,10-SEP-2000->11-SEP-2000->10-SEP-2000->11-SEP-2000->10-SEP-2010,
OJX0,future_series,OJ,X0,FROZEN OJ Nov0->FCOJ-1 Nov0->ICE FCOJ-1 NOV0,1999-01-12,,2010-11-09,2010-11-13,09-NOV-2000->09-NOV-2010,
RBF0,future_series,RB,F0,NY RBOB JAN0,2007-02-09,,2009-12-31,2010-01-02,31-DEC-2009,
RBG0,future_series,RB,G0,NY RBOB FEB0,2007-02-12,,2010-01-29,2010-01-30,29-JAN-2010,
RBH0,future_series,RB,H0,NY RBOB MAR0,2007-02-28,,2010-02-26,2010-02-27,26-FEB-2010,
RBJ0,future_series,RB,J0,NY RBOB APR0,2007-03-30,,2010-03-31,2010-04-03,31-MAR-2010,
RBK0,future_series,RB,K0,NY RBOB MAY0,2007-04-30,,2010-04-30,2010-05-01,30-APR-2010,
RBM0,future_series,RB,M0,NY RBOB JUN0,2007-06-01,,2010-05-28,2010-05-29,28-MAY-2010->31-MAY-2010->28-MAY-2010->31-MAY-2010->28-MAY-2010,
RBN0,future_series,RB,N0,NY RBOB JUL0,2007-07-01,,2010-06-30,2010-07-03,30-JUN-2010,
RBQ0,future_series,RB,Q0,NY RBOB AUG0,2007-07-31,,2010-07-30,2010-09-03,30-JUL-2010,
RBU0,future_series,RB,U0,NY RBOB SEP0,2007-09-02,,2010-08-31,2010-09-03,31-AUG-2010,
RBV0,future_series,RB,V0,NY RBOB OCT0,2007-10-01,,2010-09-30,2010-10-02,30-SEP-2010,
RBX0,future_series,RB,X0,NY RBOB NOV0,2007-10-31,,2010-10-29,2010-10-30,29-OCT-2010->31-OCT-2010->29-OCT-2010,
RBZ0,future_series,RB,Z0,NY RBOB DEC0,2007-12-02,,2010-11-30,2010-12-04,30-NOV-2010,
RSF0,future_series,RS,F0,CANOLA Jan0->CANOLA JAN0->ICE CANOLA JAN0,1998-11-19,,2010-01-14,2010-01-16,20-JAN-2000->14-JAN-2010,
RSH0,future_series,RS,H0,CANOLA Mar0->ICE CANOLA MAR0,1999-02-24,,2010-03-12,2010-03-13,22-MAR-2000->12-MAR-2010,
RSK0,future_series,RS,K0,CANOLA May0->ICE CANOLA MAY0,1999-03-23,,2010-05-14,2010-05-15,22-MAY-2000->19-MAY-2000->14-MAY-2010,
RSN0,future_series,RS,N0,CANOLA Jul0->ICE CANOLA JUL0,1999-07-22,,2010-07-14,2010-07-17,20-JUL-2000->16-JUN-2000->20-JUL-2000->14-JUL-2010,
RSX0,future_series,RS,X0,CANOLA Nov0->ICE CANOLA NOV0,1999-08-27,,2010-11-12,2010-11-13,20-NOV-2000->21-NOV-2000->12-NOV-2010->26-NOV-2010->12-NOV-2010,
SBH0,future_series,SB,H0,SUGAR 11 Mar0->ICE SUG11 MAR0,1998-02-28,,2010-02-26,2010-02-27,28-FEB-2000->29-FEB-2000->26-FEB-2010,
SBK0,future_series,SB,K0,SUGAR 11 May0->ICE SUG11 MAY0,1998-05-01,,2010-04-30,2010-05-01,28-APR-2000->30-APR-2010,
SBN0,future_series,SB,N0,SUGAR 11 Jul0->ICE SUG11 JUL0,1998-08-05,,2010-06-30,2010-07-03,30-JUN-2000->30-JUN-2010,
SBV0,future_series,SB,V0,SUGAR 11 Oct0->ICE SUG11 OCT0,1998-10-01,,2010-09-30,2010-10-02,29-SEP-2000->30-SEP-2010,
STXEH0,future_series,STXE,H0,EURO STXX50 MAR0->DJES 50 MAR0,1999-06-20,,2010-03-19,2010-03-20,17-MAR-2000->19-MAR-2010,.STOXX50E
STXEM0,future_series,STXE,M0,EURO STXX50 JUN0->DJES 50 JUN0->ESTX 50 JUN0,1999-09-17,,2010-06-18,2010-06-19,16-JUN-2000->18-JUN-2010,.STOXX50E
STXEU0,future_series,STXE,U0,EURO STXX50 SEP0->DJES 50 SEP0->ESTX 50 SEP0,1999-12-20,,2010-09-17,2010-09-18,15-SEP-2000->17-SEP-2010,.STOXX50E
STXEZ0,future_series,STXE,Z0,EURO STXX50 DEC0->DJES 50 DEC0->ESTX 50 DEC0,2000-03-16,,2010-12-17,2010-12-19,15-DEC-2000->17-DEC-2010,.STOXX50E
SXFH0,future_series,SXF,H0,S&P/CDA 60 Mar0->S&P/CDA 60 MAR0,1999-09-04,,2010-03-18,2010-03-20,22-MAR-2000->17-MAR-2000->18-MAR-2010,.SPTSE
SXFM0,future_series,SXF,M0,S&P/CDA 60 Jun0->S&P/CDA 60 JUN0,1999-09-04,,2010-06-17,2010-06-19,21-JUN-2000->16-JUN-2000->18-JUN-2010->17-JUN-2010,.SPTSE
SXFU0,future_series,SXF,U0,S&P/CDA 60 Sep0->S&P/CDA 60 SEP0,1999-09-04,,2010-09-16,2010-09-18,20-SEP-2000->15-SEP-2000->16-SEP-2010,.SPTSE
SXFZ0,future_series,SXF,Z0,S&P/CDA 60 Dec0->S&P/CDA 60 DEC0,1999-12-18,,2010-12-16,2010-12-18,19-DEC-2000->14-DEC-2000->15-DEC-2000->16-DEC-2010,.SPTSE
TFSH0,future_series,TFS,H0,ICE MiRU2K MAR0,2009-03-20,,2010-03-19,2010-03-20,19-MAR-2010,.TOY
TFSM0,future_series,TFS,M0,ICE MiRU2K JUN0,2009-06-20,,2010-06-18,2010-06-19,18-JUN-2010,.TOY
TFSU0,future_series,TFS,U0,ICE MiRU2K SEP0->MiRU2K SEP0,2009-09-19,,2010-09-17,2010-09-18,17-SEP-2010,.TOY
TFSZ0,future_series,TFS,Z0,ICE MiRU2K DEC0->MiRU2K DEC0,2009-12-19,,2010-12-17,2010-12-18,17-DEC-2010,.TOY
UROH0,future_series,URO,H0,ECU Mar0->EURO FX Mar0->EURO FX MAR0,1998-12-15,,2010-03-15,2010-03-28,13-MAR-2000->15-MAR-2010,EURUSDFIX=FBNY->EURFIX16=
UROM0,future_series,URO,M0,ECU Jun0->EURO FX Jun0->EURO FX JUN0,1998-12-22,,2010-06-14,2010-06-19,19-JUN-2000->14-JUN-2010,EURUSDFIX=FBNY->EURFIX16=->EUR=
UROU0,future_series,URO,U0,EURO FX Sep0->EURO FX SEP0,1999-03-16,,2010-09-13,2010-09-18,18-SEP-2000->13-SEP-2010,EURUSDFIX=FBNY->EURFIX16=->EUR=
UROZ0,future_series,URO,Z0,EURO FX Dec0->EURO FX DEC0,1999-06-15,,2010-12-13,2010-12-18,18-DEC-2000->13-DEC-2010,EURUSDFIX=FBNY->EURFIX16=->EUR=
YMH0,future_series,YM,H0,DM FUTS Mar0->DJ MINI($5) MAR0,1999-03-16,,2010-03-19,2010-03-20,13-MAR-2000->18-MAR-2010->19-MAR-2010,.DJI
YMM0,future_series,YM,M0,DM FUTS Jun0->DJ MINI($5) JUN0,1999-06-15,,2010-06-18,2010-06-19,19-JUN-2000->17-JUN-2010->18-JUN-2010,.DJI
YMU0,future_series,YM,U0,DM FUTS Sep0->DJ MINI($5) SEP0,1999-09-14,,2010-09-17,2010-09-18,18-SEP-2000->17-SEP-2010,.DJI
YMZ0,future_series,YM,Z0,DM FUTS Dec0->DJ MINI($5) DEC0,1999-12-14,,2010-12-17,2010-12-18,18-DEC-2000->17-DEC-2010,.DJI
ZBH0,future_series,ZB,H0,PJA T BONDS Mar0->US T BONDS MAR0,1998-09-26,,2010-03-22,2010-04-03,22-MAR-2000->22-MAR-2010,
ZBM0,future_series,ZB,M0,PJA T BONDS Jun0->US T BONDS JUN0,1998-09-26,,2010-06-21,2010-06-26,21-JUN-2000->21-JUN-2010,
ZBU0,future_series,ZB,U0,PJA T BONDS Sep0->ace T BONDS Sep0->US T BONDS SEP0,1998-09-26,,2010-09-21,2010-09-25,20-SEP-2000->21-SEP-2010,
ZBZ0,future_series,ZB,Z0,PJA T BONDS Dec0->ace T BONDS Dec0->US T BONDS DEC0,1998-09-26,,2010-12-21,2010-12-25,19-DEC-2000->22-DEC-2010->21-DEC-2010,
ZCH0,future_series,ZC,H0,CORN MAR0,2007-03-16,,2010-03-12,2010-03-13,12-MAR-2010,
ZCK0,future_series,ZC,K0,CORN MAY0,2008-04-11,,2010-05-14,2010-05-15,14-MAY-2010,
ZCN0,future_series,ZC,N0,CORN JUL0,2007-02-06,,2010-07-14,2010-07-17,14-JUL-2010,
ZCU0,future_series,ZC,U0,CORN Sep0->CORN SEP0,2000-08-25,,2010-09-14,2010-09-18,14-SEP-2000->14-SEP-2010,
ZCZ0,future_series,ZC,Z0,CORN Dec0->CORN DEC0,2000-08-25,,2010-12-14,2010-12-18,14-DEC-2000->14-DEC-2010,
ZFH0,future_series,ZF,H0,PJA 5YR NT Mar0->5YR T NOTES MAR0,1999-02-24,,2010-03-31,2010-04-03,22-MAR-2000->31-MAR-2010,
ZFM0,future_series,ZF,M0,PJA 5YR NT Jun0->5YR T NOTES JUN0,1999-03-23,,2010-06-30,2010-07-03,19-JUN-1999->21-JUN-2000->30-JUN-2010,
ZFU0,future_series,ZF,U0,PJA 5YR NT Sep0->PJA 5YR TN Sep0->ace 5YR TN Sep0->5YR T NOTES SEP0,1999-06-22,,2010-09-30,2010-10-02,20-SEP-2000->30-SEP-2010,
ZFZ0,future_series,ZF,Z0,PJA 5YR NT Dec0->PJA 5YR TN Dec0->ace 5YR TN Dec0->5YR T NOTES DEC0,1999-09-22,,2010-12-31,2011-01-01,19-DEC-2000->31-DEC-2010,
ZLF0,future_series,ZL,F0,SOYBEAN OIL JAN0,2008-08-27,,2010-01-14,2010-01-16,14-JAN-2010,
ZLH0,future_series,ZL,H0,SOYBEAN OIL MAR0,2008-06-19,,2010-03-12,2010-03-13,12-MAR-2010,
ZLK0,future_series,ZL,K0,SOYBEAN OIL MAY0,2008-08-26,,2010-05-14,2010-05-15,14-MAY-2010,
ZLN0,future_series,ZL,N0,SOYBEAN OIL JUL0,2007-12-16,,2010-07-14,2010-07-14,14-JUL-2010,
ZLQ0,future_series,ZL,Q0,SOYBEAN OIL AUG0,2008-11-04,,2010-08-13,2010-08-14,13-AUG-2010,
ZLU0,future_series,ZL,U0,SOYBEAN OIL Sep0->SOYBEAN OIL SEP0,2000-08-25,,2010-09-14,2010-09-18,14-SEP-2000->14-SEP-2010,
ZLV0,future_series,ZL,V0,SOYBEAN OIL Oct0->SOYBEAN OIL OCT0,2000-08-25,,2010-10-14,2010-10-16,13-OCT-2000->14-OCT-2010,
